Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2023-05-01T23:45:00,137.55,2023-05-04T02:30:00,134.48,,-1,2.283,2.232%,117.340
2023-05-04T06:30:00,134.30,2023-05-05T20:45:00,134.82,,1,0.382,0.383%,117.651
2023-05-07T21:30:00,134.84,2023-05-08T02:00:00,134.88,,1,0.033,0.033%,117.665
2023-05-08T04:30:00,134.83,2023-05-09T21:15:00,135.20,,-1,-0.274,-0.274%,117.371
2023-05-09T23:30:00,135.19,2023-05-12T02:30:00,134.58,,1,-0.453,-0.451%,116.897
2023-05-12T06:15:00,134.78,2023-05-12T20:45:00,135.72,,1,0.690,0.694%,117.569
2023-05-14T21:30:00,135.66,2023-05-19T20:45:00,137.96,,1,1.661,1.689%,119.214
2023-05-21T21:30:00,137.99,2023-05-26T20:45:00,140.62,,1,1.872,1.908%,121.095
2023-05-28T21:30:00,140.56,2023-06-02T20:45:00,139.97,,1,-0.417,-0.415%,120.694
2023-06-04T21:30:00,139.96,2023-06-09T20:45:00,139.41,,1,-0.397,-0.395%,120.279
2023-06-11T21:30:00,139.26,2023-06-16T20:45:00,141.88,,1,1.847,1.881%,122.107
2023-06-18T21:30:00,141.74,2023-06-21T04:45:00,141.70,,1,-0.030,-0.030%,122.092
2023-06-21T23:15:00,141.68,2023-06-22T17:15:00,142.95,,-1,-0.888,-0.896%,121.184
2023-06-22T18:45:00,143.02,2023-06-23T20:45:00,143.75,,1,0.508,0.510%,121.664
2023-06-25T21:30:00,143.54,2023-06-30T20:45:00,144.35,,1,0.558,0.561%,122.205
2023-07-02T21:30:00,144.27,2023-07-04T22:30:00,144.43,,1,0.111,0.111%,122.299
2023-07-05T05:15:00,144.61,2023-07-05T05:45:00,144.61,,-1,-0.006,-0.006%,122.273
2023-07-05T06:00:00,144.65,2023-07-05T18:45:00,144.63,,-1,0.010,0.010%,122.263
2023-07-05T22:00:00,144.55,2023-07-07T20:45:00,142.09,,1,-1.735,-1.705%,120.509
2023-07-09T21:30:00,142.11,2023-07-10T00:45:00,142.50,,1,0.272,0.272%,120.790
2023-07-10T09:45:00,142.45,2023-07-10T11:30:00,142.27,,-1,0.128,0.128%,120.898
2023-07-10T11:45:00,142.24,2023-07-10T12:15:00,142.19,,-1,0.039,0.039%,120.918
2023-07-10T12:45:00,142.46,2023-07-10T14:30:00,141.65,,-1,0.570,0.566%,121.467
2023-07-10T17:30:00,141.37,2023-07-14T20:45:00,138.82,,1,-1.837,-1.804%,119.607
2023-07-16T21:30:00,138.68,2023-07-19T00:45:00,138.89,,1,0.151,0.151%,119.772
2023-07-19T03:00:00,139.25,2023-07-19T05:45:00,139.32,,1,0.047,0.047%,119.799
2023-07-19T11:00:00,139.92,2023-07-19T15:45:00,139.69,,-1,0.160,0.159%,119.939
2023-07-20T03:30:00,139.17,2023-07-21T20:45:00,141.79,,1,1.846,1.880%,121.764
2023-07-23T21:30:00,141.70,2023-07-27T17:00:00,139.95,Stop,1,-1.251,-1.235%,120.528
2023-07-27T18:30:00,139.56,2023-07-28T03:15:00,140.57,Stop,1,0.719,0.724%,121.243
2023-07-28T03:30:00,139.66,2023-07-28T03:30:00,141.06,Stop,1,0.990,1.000%,123.208
2023-07-28T03:45:00,139.72,2023-07-28T04:00:00,138.60,Stop,1,-0.808,-0.801%,121.400
2023-07-28T04:15:00,138.11,2023-07-28T20:45:00,141.17,,1,2.173,2.221%,123.559
2023-07-30T21:30:00,140.98,2023-08-01T03:30:00,142.66,,1,1.181,1.195%,124.768
2023-08-01T12:00:00,142.97,2023-08-01T19:00:00,143.41,,1,0.305,0.306%,125.067
2023-08-01T19:15:00,143.37,2023-08-01T19:30:00,143.39,,1,0.012,0.012%,125.060
2023-08-03T18:45:00,142.65,2023-08-04T01:00:00,142.73,,1,0.055,0.055%,125.095
2023-08-04T01:15:00,142.56,2023-08-04T10:15:00,142.73,,1,0.123,0.123%,125.197
2023-08-07T14:00:00,142.12,2023-08-09T02:30:00,143.34,,1,0.855,0.862%,126.032
2023-08-09T12:00:00,143.44,2023-08-09T21:00:00,143.71,,1,0.189,0.189%,126.208
2023-08-10T16:30:00,144.46,2023-08-11T20:45:00,144.93,,1,0.328,0.329%,126.516
2023-08-13T21:30:00,144.94,2023-08-17T10:15:00,146.19,,1,0.853,0.860%,127.350
2023-08-17T10:30:00,146.08,2023-08-17T11:00:00,145.96,,1,-0.079,-0.079%,127.258
2023-08-17T11:30:00,145.99,2023-08-17T12:45:00,145.83,,1,-0.112,-0.112%,127.126
2023-08-17T13:00:00,145.79,2023-08-17T13:15:00,145.69,,1,-0.069,-0.069%,127.038
2023-08-17T14:30:00,146.10,2023-08-18T20:45:00,145.36,,1,-0.510,-0.507%,126.508
2023-08-20T21:30:00,145.37,2023-08-21T03:15:00,145.38,,1,0.006,0.006%,126.497
2023-08-21T08:45:00,145.57,2023-08-21T09:30:00,145.72,,1,0.108,0.108%,126.584
2023-08-21T10:00:00,145.77,2023-08-21T10:15:00,145.84,,1,0.049,0.049%,126.613
2023-08-21T10:30:00,145.93,2023-08-21T14:00:00,146.14,,1,0.140,0.140%,126.734
2023-08-21T23:00:00,146.19,2023-08-22T09:30:00,145.71,,-1,0.325,0.324%,127.038
2023-08-23T03:45:00,145.64,2023-08-25T20:45:00,146.44,,1,0.542,0.544%,127.559
2023-08-27T21:30:00,146.40,2023-09-01T20:45:00,146.24,,1,-0.113,-0.113%,127.429
2023-09-03T21:30:00,146.18,2023-09-08T20:45:00,147.79,,1,1.087,1.099%,128.496
2023-09-10T21:30:00,146.81,2023-09-15T20:45:00,147.86,,1,0.710,0.715%,129.198
2023-09-17T21:30:00,147.73,2023-09-19T01:45:00,147.74,,1,0.005,0.005%,129.188
2023-09-19T05:30:00,147.77,2023-09-19T06:15:00,147.83,,1,0.036,0.036%,129.204
2023-09-20T12:00:00,147.88,2023-09-22T15:15:00,148.15,,1,0.186,0.186%,129.369
2023-09-27T03:45:00,149.01,2023-09-27T04:00:00,149.02,,-1,-0.012,-0.012%,129.337
2023-09-27T04:15:00,149.07,2023-09-27T06:30:00,149.14,,-1,-0.048,-0.048%,129.269
2023-09-27T06:45:00,149.12,2023-09-29T20:45:00,149.38,,-1,-0.169,-0.169%,129.080
2023-10-01T21:30:00,149.51,2023-10-03T14:00:00,148.39,Stop,-1,0.751,0.745%,129.811
2023-10-03T14:15:00,148.95,2023-10-06T20:45:00,149.32,,-1,-0.248,-0.248%,129.537
2023-10-08T21:30:00,149.09,2023-10-13T20:45:00,149.58,,-1,-0.328,-0.329%,129.189
2023-10-15T21:30:00,149.40,2023-10-20T20:45:00,149.86,,-1,-0.308,-0.309%,128.860
2023-10-22T21:30:00,149.76,2023-10-27T20:45:00,149.66,,-1,0.065,0.065%,128.904
2023-10-29T21:30:00,149.56,2023-11-03T20:45:00,149.35,,-1,0.141,0.140%,129.025
2023-11-05T22:30:00,149.36,2023-11-10T21:45:00,151.55,,-1,-1.444,-1.466%,127.560
2023-11-12T22:30:00,151.46,2023-11-15T18:45:00,151.32,,-1,0.093,0.093%,127.612
2023-11-15T21:15:00,151.37,2023-11-16T08:45:00,151.35,,1,-0.014,-0.014%,127.578
2023-11-16T11:30:00,151.20,2023-11-17T21:45:00,149.65,,-1,1.038,1.028%,128.597
2023-11-19T22:30:00,149.48,2023-11-21T18:00:00,147.96,,-1,1.022,1.012%,129.588
2023-11-22T02:45:00,148.28,2023-11-22T11:45:00,148.81,,1,0.355,0.357%,129.913
2023-11-22T18:00:00,149.62,2023-11-22T18:15:00,149.59,,-1,0.016,0.016%,129.911
2023-11-22T20:15:00,149.60,2023-11-24T21:45:00,149.45,,-1,0.098,0.098%,129.988
2023-11-26T22:30:00,149.50,2023-12-01T19:00:00,146.76,,-1,1.870,1.836%,131.839
2023-12-04T05:30:00,146.78,2023-12-04T10:45:00,146.56,,-1,0.156,0.155%,131.940
2023-12-04T11:00:00,146.56,2023-12-04T11:30:00,146.55,,-1,0.008,0.008%,131.928
2023-12-04T22:00:00,147.20,2023-12-05T06:45:00,146.77,,-1,0.292,0.291%,132.200
2023-12-05T09:15:00,147.08,2023-12-05T15:30:00,146.91,,-1,0.115,0.115%,132.294
2023-12-06T05:15:00,147.27,2023-12-06T07:30:00,147.06,,-1,0.141,0.141%,132.416
2023-12-06T08:15:00,147.07,2023-12-07T17:45:00,142.10,Stop,-1,3.497,3.379%,135.892
2023-12-07T18:00:00,143.27,2023-12-08T21:45:00,144.99,,-1,-1.184,-1.198%,134.571
2023-12-10T22:30:00,145.02,2023-12-15T09:15:00,141.70,,-1,2.344,2.291%,136.881
2023-12-15T14:00:00,142.32,2023-12-15T21:45:00,142.22,,1,-0.070,-0.070%,136.738
2023-12-17T22:30:00,142.06,2023-12-18T06:45:00,142.22,,1,0.107,0.107%,136.825
